               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021074,           0.0074213,           0.0013938,             0.96813,             0.91512,             0.96764,             0.72511,            0.018566,           0.0047225,           0.0011632,            0.006535,            0.006535,            0.006535
                  37,            0.020809,           0.0074611,           0.0015497,             0.97795,              0.9001,             0.96796,             0.73765,            0.018455,           0.0047759,           0.0013879,            0.006436,            0.006436,            0.006436
                  38,             0.02121,            0.007721,           0.0014954,             0.99206,             0.88258,             0.95017,             0.74636,            0.017788,           0.0045571,            0.001247,            0.006337,            0.006337,            0.006337
                  39,            0.021072,           0.0073955,           0.0014164,             0.93467,             0.92246,             0.95208,             0.70162,            0.019091,           0.0046441,           0.0012849,            0.006238,            0.006238,            0.006238
                  40,            0.020477,            0.007246,           0.0013202,             0.97087,             0.94687,             0.96196,             0.70927,            0.018656,           0.0044309,           0.0011921,            0.006139,            0.006139,            0.006139
                  41,            0.020227,            0.007328,           0.0013242,             0.98691,             0.91975,             0.96713,             0.73212,            0.018704,           0.0046649,           0.0011255,             0.00604,             0.00604,             0.00604
                  42,            0.019712,            0.007004,           0.0012308,             0.98921,             0.91384,             0.96379,              0.7435,            0.018434,           0.0044715,           0.0011136,            0.005941,            0.005941,            0.005941
                  43,            0.019676,           0.0074008,           0.0012917,             0.99112,             0.92512,             0.97514,             0.74417,            0.017961,           0.0045233,          0.00094215,            0.005842,            0.005842,            0.005842
                  44,            0.019391,            0.007171,            0.001136,             0.94029,             0.95838,             0.96427,             0.75524,             0.01818,           0.0046075,          0.00094384,            0.005743,            0.005743,            0.005743
                  45,            0.019234,           0.0072959,           0.0012387,              0.9464,             0.96293,             0.97727,             0.75623,            0.017572,           0.0046398,           0.0010697,            0.005644,            0.005644,            0.005644
                  46,            0.018518,           0.0074034,           0.0012388,             0.97962,             0.92753,             0.96212,             0.72943,            0.018104,           0.0045622,           0.0012291,            0.005545,            0.005545,            0.005545
                  47,            0.018495,           0.0067619,           0.0011981,             0.97159,             0.91931,              0.9616,             0.75072,            0.017901,            0.004505,          0.00096264,            0.005446,            0.005446,            0.005446
                  48,            0.019005,           0.0070248,           0.0012167,             0.97027,             0.91664,             0.97039,             0.76421,            0.017282,           0.0045226,           0.0010872,            0.005347,            0.005347,            0.005347
                  49,            0.018379,           0.0068837,            0.001261,             0.96838,             0.95353,             0.97054,             0.74662,            0.016364,            0.004363,          0.00097783,            0.005248,            0.005248,            0.005248
                  50,            0.017974,           0.0067806,           0.0010987,             0.96344,             0.93869,             0.96325,             0.76728,            0.016647,           0.0043073,          0.00088642,            0.005149,            0.005149,            0.005149
                  51,            0.017683,           0.0069583,            0.001111,              0.9989,             0.90955,             0.96266,             0.75795,            0.016979,           0.0042496,            0.000889,             0.00505,             0.00505,             0.00505
                  52,            0.017832,           0.0066782,           0.0011881,             0.97856,              0.9358,             0.97351,             0.76051,            0.017618,           0.0042588,          0.00080491,            0.004951,            0.004951,            0.004951
                  53,            0.017554,           0.0066135,             0.00111,             0.98493,             0.92386,             0.97079,             0.77107,             0.01618,           0.0041633,          0.00081406,            0.004852,            0.004852,            0.004852
                  54,            0.017197,           0.0066518,           0.0010496,             0.97668,             0.95603,             0.98163,             0.76888,            0.015959,           0.0042761,           0.0007952,            0.004753,            0.004753,            0.004753
                  55,            0.017437,           0.0067719,           0.0010877,             0.94441,             0.96392,             0.97696,             0.76246,            0.016711,           0.0043063,           0.0008405,            0.004654,            0.004654,            0.004654
